;Content Impact Type;Content Impact Source;State Impact Type;State Impact Source;ASIL Impact Type;ASIL Impact Source;
Goal G1;Revise;powerSD_CD.[ownedAttributes->] Attribute sensed_speed;Recheck;powerSD_CD.Class ReduntantSwitch, powerSD_CD.Attribute sensed_speed, powerSD_CD.[ownedAttributes->] Attribute sensed_speed;Reuse;Not applicable.;
Goal G1.1;Reuse;Not applicable.;Recheck;powerSD_GSN.Solution Sn1.1;Reuse;Not applicable.;
Goal G2.1;Reuse;Not applicable.;Recheck;powerSD_GSN.Solution Sn2.1;Reuse;Not applicable.;
Goal G1.2;Revise;powerSD_CD.[ownedAttributes->] Attribute sensed_speed;Recheck;powerSD_CD.Class ReduntantSwitch, powerSD_CD.Attribute sensed_speed, powerSD_CD.[ownedAttributes->] Attribute sensed_speed;Reuse;Not applicable.;
Goal G2.2;Revise;powerSD_CD.[ownedAttributes->] Attribute closed, powerSD_CD.[ownedAttributes->] Attribute sensed_speed;Recheck;powerSD_CD.Class ReduntantSwitch, powerSD_CD.Attribute sensed_speed, powerSD_CD.Class ReduntantSwitch, powerSD_CD.Class ReduntantSwitch, powerSD_CD.Class ReduntantSwitch, powerSD_CD.Attribute closed, powerSD_CD.[ownedAttributes->] Attribute closed, powerSD_CD.[ownedAttributes->] Attribute sensed_speed;Revise;powerSD_CD.[ownedAttributes->] Attribute closed, powerSD_CD.[ownedAttributes->] Attribute sensed_speed;
Goal G1.4;Revise;powerSD_CD.[ownedAttributes->] Attribute closed;Recheck;powerSD_CD.Class ReduntantSwitch, powerSD_CD.Class ReduntantSwitch, powerSD_CD.Class ReduntantSwitch, powerSD_CD.Attribute closed, powerSD_CD.[ownedAttributes->] Attribute closed;Reuse;Not applicable.;
Goal G2.3;Revise;powerSD_CD.[classes->] Class Redundant Switch;Recheck;powerSD_CD.Attribute sensed_speed, powerSD_CD.Attribute sensed_speed, powerSD_CD.Class ReduntantSwitch, powerSD_CD.[classes->] Class Redundant Switch;Revise;powerSD_CD.[classes->] Class Redundant Switch;
Goal G1.3;Reuse;Not applicable.;Recheck;powerSD_GSN.Goal G2.2;Reuse;Not applicable.;
Strategy S1;Recheck;powerSD_GSN.Goal G1;;;;;
Strategy S1.1;Recheck;powerSD_GSN.Solution Sn1.1;;;;;
Strategy S2.1;Recheck;powerSD_GSN.Solution Sn2.1;;;;;
Strategy S1.3;Recheck;powerSD_GSN.Goal G1.2;;;;;
Strategy S2.2;Recheck;powerSD_GSN.Goal G2.2;;;;;
Strategy S1.4;Recheck;powerSD_GSN.Goal G1.4;;;;;
Strategy S2.3;Recheck;powerSD_GSN.Goal G2.3;;;;;
Strategy S2;Recheck;powerSD_GSN.Goal G2.2;;;;;
Solution Sn1.1;Revise;powerSD_CD.[classes->] Class Redundant Switch;Recheck;powerSD_CD.Attribute sensed_speed, powerSD_CD.Attribute sensed_speed, powerSD_CD.Class ReduntantSwitch, powerSD_CD.[classes->] Class Redundant Switch;;;
Solution Sn2.1;Revise;powerSD_CD.[classes->] Class Redundant Switch;Recheck;powerSD_CD.Attribute sensed_speed, powerSD_CD.Attribute sensed_speed, powerSD_CD.Class ReduntantSwitch, powerSD_CD.[classes->] Class Redundant Switch;;;
Solution Sn1.3;Revise;powerSD_CD.[classes->] Class Redundant Switch;Recheck;powerSD_CD.Attribute sensed_speed, powerSD_CD.Attribute sensed_speed, powerSD_CD.Class ReduntantSwitch, powerSD_CD.[classes->] Class Redundant Switch;;;
Solution Sn2.2;Revise;powerSD_CD.[classes->] Class Redundant Switch;Recheck;powerSD_CD.Attribute sensed_speed, powerSD_CD.Attribute sensed_speed, powerSD_CD.Class ReduntantSwitch, powerSD_CD.[classes->] Class Redundant Switch;;;
Solution Sn1.4;Revise;powerSD_CD.[classes->] Class Redundant Switch;Recheck;powerSD_CD.Attribute sensed_speed, powerSD_CD.Attribute sensed_speed, powerSD_CD.Class ReduntantSwitch, powerSD_CD.[classes->] Class Redundant Switch;;;
Solution Sn2.3;Revise;powerSD_CD.[classes->] Class Redundant Switch;Recheck;powerSD_CD.Attribute sensed_speed, powerSD_CD.Attribute sensed_speed, powerSD_CD.Class ReduntantSwitch, powerSD_CD.[classes->] Class Redundant Switch;;;
